LBP0H,LBP1H,LBP2H,LBP3H,LBP4H,LBP5H,LBP6H,LBP7H,LBP8H,LBP9H,LBP0S,LBP1S,LBP2S,LBP3S,LBP4S,LBP5S,LBP6S,LBP7S,LBP8S,LBP9S,label
0.0048828125,0.012939453125,0.004241943359375,0.0521392822265625,0.0345306396484375,0.1433563232421875,0.0275115966796875,0.033203125,0.6641387939453125,0.0230560302734375,0.0495452880859375,0.0541839599609375,0.032989501953125,0.052825927734375,0.0473785400390625,0.0639190673828125,0.0419464111328125,0.0620269775390625,0.484954833984375,0.1102294921875,Bacterial_spot
0.005340576171875,0.0132598876953125,0.004119873046875,0.0415802001953125,0.0280609130859375,0.1199798583984375,0.023590087890625,0.02789306640625,0.712371826171875,0.0238037109375,0.0433807373046875,0.0485382080078125,0.0266571044921875,0.0423736572265625,0.0374755859375,0.049407958984375,0.0338134765625,0.05377197265625,0.569244384765625,0.0953369140625,Bacterial_spot
0.0045318603515625,0.0122833251953125,0.0033111572265625,0.0436859130859375,0.0371551513671875,0.1248931884765625,0.02008056640625,0.0224609375,0.711761474609375,0.01983642578125,0.041046142578125,0.0503387451171875,0.0295562744140625,0.049163818359375,0.044036865234375,0.06005859375,0.0397796630859375,0.0561981201171875,0.5333404541015625,0.0964813232421875,Bacterial_spot
0.0061492919921875,0.01763916015625,0.0063018798828125,0.0590667724609375,0.045318603515625,0.1361083984375,0.0371856689453125,0.03619384765625,0.6215057373046875,0.0345306396484375,0.043365478515625,0.0472869873046875,0.0286407470703125,0.0452423095703125,0.041229248046875,0.0579071044921875,0.03521728515625,0.0543365478515625,0.547637939453125,0.0991363525390625,Bacterial_spot
0.0051727294921875,0.0146484375,0.00445556640625,0.0595245361328125,0.0586090087890625,0.154266357421875,0.0300445556640625,0.0299835205078125,0.617340087890625,0.0259552001953125,0.022552490234375,0.044769287109375,0.0295562744140625,0.0719146728515625,0.0886077880859375,0.0965118408203125,0.044921875,0.0517120361328125,0.4739837646484375,0.075469970703125,Bacterial_spot
0.0048370361328125,0.01300048828125,0.004241943359375,0.047821044921875,0.044769287109375,0.12774658203125,0.0251312255859375,0.0262603759765625,0.6844024658203125,0.02178955078125,0.0441436767578125,0.0539703369140625,0.0308990478515625,0.0510406494140625,0.0478973388671875,0.0626220703125,0.04144287109375,0.058135986328125,0.50604248046875,0.1038055419921875,Bacterial_spot
0.0055389404296875,0.01373291015625,0.003875732421875,0.051513671875,0.036102294921875,0.1296539306640625,0.024993896484375,0.0302276611328125,0.6800384521484375,0.024322509765625,0.0435028076171875,0.049713134765625,0.0281219482421875,0.0478515625,0.041900634765625,0.058197021484375,0.0366973876953125,0.0553131103515625,0.5384979248046875,0.1002044677734375,Bacterial_spot
0.0045013427734375,0.0138702392578125,0.0041046142578125,0.042877197265625,0.0345611572265625,0.1240234375,0.0225677490234375,0.0261688232421875,0.70556640625,0.021759033203125,0.04400634765625,0.050811767578125,0.0305328369140625,0.048065185546875,0.044403076171875,0.0583038330078125,0.0396575927734375,0.056488037109375,0.52777099609375,0.0999603271484375,Bacterial_spot
0.005126953125,0.01165771484375,0.0035552978515625,0.0416717529296875,0.0346221923828125,0.1338043212890625,0.0196075439453125,0.023895263671875,0.7053070068359375,0.020751953125,0.0417022705078125,0.052001953125,0.0308074951171875,0.052337646484375,0.0483245849609375,0.0639801025390625,0.041259765625,0.05718994140625,0.5141448974609375,0.0982513427734375,Bacterial_spot
0.006866455078125,0.0188446044921875,0.00677490234375,0.064971923828125,0.0621185302734375,0.145843505859375,0.038543701171875,0.036224365234375,0.5870819091796875,0.0327301025390625,0.0496978759765625,0.0516357421875,0.030181884765625,0.0500030517578125,0.0399932861328125,0.06121826171875,0.0381317138671875,0.06109619140625,0.509124755859375,0.108917236328125,Bacterial_spot
